pair,categoria,shortlist,score,pain_pain,pain_nopain,pain_delta,arousal_delta,valence_pain,credibilidad,imaginabilidad_1p,aptitud_video,actor_gender,nota,incluido,exclude_reason,cat_final,category_rank,stimulus_id,selection_rank,slug_sugerido
1,corte,False,0.61,5.95,1.71,4.24,3.23,3.19,5,5,5,1.0,Cortar verdura (melon amargo); dolor: cuchillo sobre dedo,0,,corte,,,,
2,quemadura,False,-0.75,6.19,2.16,4.03,3.11,3.32,4,5,4,1.0,Fosforo encendido quema los dedos,0,,quemadura,,,,
3,corte,True,0.89,6.55,2.02,4.53,3.65,3.27,5,5,5,1.0,Cortar pepino; dolor: cuchillo corta dedo (sangre visible),1,,corte,4,E01,1,corte_pepino
4,punzante,False,-1.07,5.56,2.02,3.55,3.08,3.39,5,5,4,2.0,Coser tela azul; dolor: aguja pincha dedo,0,,punzante,,,,
5,punzante,False,-0.14,5.6,1.68,3.92,2.92,3.58,4,5,4,2.0,Aguja de coser pincha dedo,0,,punzante,,,,
6,punzante,False,1.26,5.69,1.5,4.19,3.42,2.4,3,4,3,2.0,Mano en pasto; dolor: insecto sobre la mano (dificil de animar),0,"animable: insecto vivo, sin agente discreto controlable",punzante,,,,
7,corte,False,-0.25,5.52,1.68,3.84,2.9,3.69,5,5,5,2.0,Pelar fruta amarilla; dolor: cuchillo resbala al pulgar,0,,corte,,,,
8,corte,True,0.57,6.15,1.79,4.35,3.23,3.68,5,5,5,1.0,Pelar manzana; dolor: cuchillo corta dedo,0,,corte,,,,
9,corte,False,1.13,6.35,1.81,4.55,3.48,3.24,4,5,4,1.0,Afilar lapiz con hoja; dolor: hoja sobre dedo,0,,corte,,,,
10,corte,False,1.72,6.34,1.63,4.71,3.5,3.06,4,5,5,1.0,Cortar vegetal violeta; dolor: cuchillo sobre dedo,0,,corte,,,,
11,aplastamiento,False,1.1,5.92,1.6,4.32,3.34,3.45,4,5,4,1.0,Pie descalzo; dolor: taco aguja pisa el pie,1,,aplastamiento,1,E06,6,aplastamiento_taco_pie
12,corte,False,0.78,5.73,1.6,4.13,3.27,3.6,4,5,4,1.0,Tijera corta papel; dolor: tijera corta dedo,0,,corte,,,,
13,quemadura,True,-0.55,5.73,1.77,3.95,2.74,3.97,5,5,5,2.0,Mano sobre hornalla apagada; dolor: mano sobre llama de gas,0,,quemadura,,,,
14,quemadura,False,-4.04,4.37,1.81,2.56,1.47,4.06,4,5,4,1.0,Fosforo: la llama alcanza los dedos,0,,quemadura,,,,
15,quemadura,True,-0.15,5.5,1.82,3.68,3.34,3.69,5,5,5,2.0,Mano sobre sarten fria; dolor: mano sobre olla hirviendo,0,,quemadura,,,,
16,punzante,True,-0.49,4.81,1.45,3.35,2.81,3.81,5,5,4,1.0,Mano sobre pelota; dolor: mano presiona un cactus,0,,punzante,,,,
17,corte,True,1.02,6.32,1.76,4.56,3.32,3.47,5,5,5,2.0,Cortar pan; dolor: cuchillo corta la mano,0,,corte,,,,
18,quemadura,False,0.3,6.35,1.97,4.39,3.27,3.24,4,5,4,2.0,Dedo sobre encendedor; dolor: dedo en la llama,0,,quemadura,,,,
19,aplastamiento,True,-0.19,5.4,1.68,3.73,3.05,3.65,5,5,5,1.0,Mano en cajon; dolor: dedos atrapados al cerrarse,0,,aplastamiento,,,,
